Supervisor_Name,Supervisor_ID,Title
A S Madhukumar,ASMADHUKUMAR,Machine Learning-based Interference Mitigation in a Multi-tier Networks
A S Madhukumar,ASMADHUKUMAR,Deep Learning-Driven Edge Caching for 5G-and-Beyond Industrial IoT Networks
Alexei Sourin,ASSOURIN,Sonification of geometry 1
Arvind Easwaran,ARVINDE,Edge/Cloud Resource Management for Time-Sensitive Applications (2)
Bo An,BOAN,Deep Reinforcement Learning for Complex Environment
Bo An,BOAN,Build Software Agents for Power Trading Agent Competition
Bo An,BOAN,Designing Negotiation Agents to Parcitipate in International Competition
Cai Wentong,ASWTCAI,Creation of Meta-model for Agent-based Simulation Using Machine Learning Approach
Chen Change Loy,CCLOY,Encoding Images to Text Prompts with CLIP
Chia Liang Tien,ASLTCHIA,Smart Monitor for Studio Photographer
Cong Gao,GAOCONG,Developing a demonstration system for spatial data exploration and visualization 
Cong Gao,GAOCONG,Deep Learning Supported Location-aware Keyword Query
Douglas Leslie Maskell,ASDOUGLAS,An AI based Li-ion fast battery charger for power tools
Douglas Leslie Maskell,ASDOUGLAS,A Li-ion fast battery charger
Dusit Niyato,DNIYATO,Metaverse for virtual education 1
Ke Yiping Kelly,YPKE,Graph-based Deep Models for Image Semantic Segmentation
